Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2019,2,BAJA CALIFORNIA,1,ENSENADA,Candidatura Independiente,5994,112920,158,3516,116594,393324,5994,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,PAN,84287,253291,291,6619,260201,794900,84287,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,PRI,10219,253291,291,6619,260201,794900,10219,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,PRD,8348,253291,291,6619,260201,794900,8348,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM,4686,253291,291,6619,260201,794900,4686,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,PT,5952,253291,291,6619,260201,794900,5952,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,MC,13010,253291,291,6619,260201,794900,13010,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,MORENA,102310,253291,291,6619,260201,794900,102310,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM_PT_TRANS_MORENA,582,253291,291,6619,260201,794900,120371,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM_PT_TRANS,122,253291,291,6619,260201,794900,17601,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM_PT_MORENA,136,253291,291,6619,260201,794900,113084,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM_TRANS_MORENA,133,253291,291,6619,260201,794900,113970,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PT_TRANS_MORENA,428,253291,291,6619,260201,794900,115531,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM_PT,64,253291,291,6619,260201,794900,10702,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM_TRANS,38,253291,291,6619,260201,794900,11565,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PVEM_MORENA,206,253291,291,6619,260201,794900,107202,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PT_TRANS,76,253291,291,6619,260201,794900,12869,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PT_MORENA,339,253291,291,6619,260201,794900,108601,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,TRANS_MORENA,928,253291,291,6619,260201,794900,110079,Sí
2019,2,BAJA CALIFORNIA,2,MEXICALI,PBC,14586,253291,291,6619,260201,794900,14586,No
2019,2,BAJA CALIFORNIA,2,MEXICALI,TRANS,6841,253291,291,6619,260201,794900,6841,No
2019,2,BAJA CALIFORNIA,3,TECATE,PAN,6927,27835,36,805,28676,86267,6927,No
2019,2,BAJA CALIFORNIA,3,TECATE,PRI,5379,27835,36,805,28676,86267,5379,No
2019,2,BAJA CALIFORNIA,3,TECATE,PRD,552,27835,36,805,28676,86267,552,No
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM,551,27835,36,805,28676,86267,551,No
2019,2,BAJA CALIFORNIA,3,TECATE,PT,557,27835,36,805,28676,86267,557,No
2019,2,BAJA CALIFORNIA,3,TECATE,MC,1229,27835,36,805,28676,86267,1229,No
2019,2,BAJA CALIFORNIA,3,TECATE,MORENA,8816,27835,36,805,28676,86267,8816,No
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM_PT_TRANS_MORENA,61,27835,36,805,28676,86267,10657,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM_PT_TRANS,18,27835,36,805,28676,86267,1798,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM_PT_MORENA,20,27835,36,805,28676,86267,9944,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM_TRANS_MORENA,13,27835,36,805,28676,86267,10052,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PT_TRANS_MORENA,24,27835,36,805,28676,86267,10069,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM_PT,15,27835,36,805,28676,86267,1123,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM_TRANS,14,27835,36,805,28676,86267,1237,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PVEM_MORENA,33,27835,36,805,28676,86267,9400,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PT_TRANS,15,27835,36,805,28676,86267,1244,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PT_MORENA,39,27835,36,805,28676,86267,9412,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,TRANS_MORENA,80,27835,36,805,28676,86267,9568,Sí
2019,2,BAJA CALIFORNIA,3,TECATE,PBC,357,27835,36,805,28676,86267,357,No
2019,2,BAJA CALIFORNIA,3,TECATE,TRANS,672,27835,36,805,28676,86267,672,No
2019,2,BAJA CALIFORNIA,3,TECATE,Candidatura Independiente,2463,27835,36,805,28676,86267,2463,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,PAN,42802,392664,213,9259,402136,1431102,42802,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,PRI,16487,392664,213,9259,402136,1431102,16487,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,PRD,139475,392664,213,9259,402136,1431102,139475,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM,7401,392664,213,9259,402136,1431102,7401,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,PT,8675,392664,213,9259,402136,1431102,8675,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,MC,16348,392664,213,9259,402136,1431102,16348,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,MORENA,143216,392664,213,9259,402136,1431102,143216,No
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM_PT_TRANS_MORENA,750,392664,213,9259,402136,1431102,165990,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM_PT_TRANS,167,392664,213,9259,402136,1431102,22191,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM_PT_MORENA,220,392664,213,9259,402136,1431102,159512,Sí
2019,2,BAJA CALIFORNIA,4,TIJUANA,PVEM_TRANS_MORENA,145,392664,213,9259,402136,1431102,156710,Sí
